------
Drone: 1
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.181826, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248699, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.360178, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.409460, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.464881, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 3
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.051255, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.078826, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.181826, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.360178, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.409460, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.464881, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 4
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.051255, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.078826, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182355, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.409460, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 5
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052172, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.078826, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182355, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.409460, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 6
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052172, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182355, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.409460, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 7
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182355, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 8
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182355, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 9
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182531, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 10
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.124902, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182531, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 11
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.125718, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154022, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182531, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.210333, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 12
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.125718, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154971, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182531, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.211288, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.386539, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 13
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.125718, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154971, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182531, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.211288, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.387486, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 14
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.125718, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154971, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182531, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.211288, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:43:54.339593, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:43:59.361182, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:44:04.387486, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:44:09.410461, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:44:14.424990, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:44:19.442865, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:44:24.465263, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:44:29.484626, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:44:34.514781, end_time=None, duration=None
------
Drone: 15
id=0, command=command, response=None, start_time=2023-04-03 15:42:49.027460, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:42:54.052225, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:42:59.079216, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:43:04.101439, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:43:09.125718, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:43:14.154971, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:43:19.182531, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:43:24.211288, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:43:29.229904, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:43:34.248806, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:43:39.271073, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:43:44.298444, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:43:49.321984, end_time=None, duration=None
