------
Drone: 1
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.901019, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.226658, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.272213, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.299209, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.320212, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.352378, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386386, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.446999, end_time=None, duration=None
------
Drone: 4
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.901019, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.951979, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.972587, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994290, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061198, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.135320, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.226658, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273205, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300212, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.320212, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.352378, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386386, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.446999, end_time=None, duration=None
------
Drone: 5
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.901019, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.951979, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.972587, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061198, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.135320, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.226658, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273406, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300212, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.320212, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.352378, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386386, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.446999, end_time=None, duration=None
------
Drone: 6
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.901019, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.951979, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.972587, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061198, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.135320, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.226658, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273406, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300212, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.320212, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.352378, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386898, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.446999, end_time=None, duration=None
------
Drone: 7
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.902021, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.951979, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.972587, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061198, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.135320, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.226658, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273667, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300389, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.321157, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.352378, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386898, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.447955, end_time=None, duration=None
------
Drone: 8
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.902021, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.951979, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.972587, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061198, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.135320, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.226658, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273667, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300389, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.321157, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.352378, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386898, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.447955, end_time=None, duration=None
------
Drone: 9
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.902021, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.951979, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.972587, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061198, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.136317, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.226658, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273667, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300389, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.321157, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.353028, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386898, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.447955, end_time=None, duration=None
------
Drone: 10
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.902021, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.951979, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.973261, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061746, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.136317, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.227741, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273667, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300389, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.321157, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.353276, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386898, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.447955, end_time=None, duration=None
------
Drone: 11
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.902021, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.952715, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.973261, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061746, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.136317, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.227741, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273667, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300389, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.321157, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.353363, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386898, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.447955, end_time=None, duration=None
------
Drone: 12
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.902021, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.952715, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.973261, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061746, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.136317, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.227741, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273667, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300389, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.321157, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.353363, end_time=None, duration=None
id=21, command=command, response=None, start_time=2023-04-03 15:31:03.386898, end_time=None, duration=None
id=22, command=command, response=None, start_time=2023-04-03 15:31:08.401621, end_time=None, duration=None
id=23, command=command, response=None, start_time=2023-04-03 15:31:13.420253, end_time=None, duration=None
id=24, command=command, response=None, start_time=2023-04-03 15:31:18.447955, end_time=None, duration=None
------
Drone: 13
id=0, command=command, response=None, start_time=2023-04-03 15:29:17.902021, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-04-03 15:29:22.923773, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-04-03 15:29:27.952715, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-04-03 15:29:32.973261, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-04-03 15:29:37.987375, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-04-03 15:29:42.994384, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-04-03 15:29:48.016133, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-04-03 15:29:53.039044, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-04-03 15:29:58.061746, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-04-03 15:30:03.084502, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-04-03 15:30:08.106293, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-04-03 15:30:13.136317, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-04-03 15:30:18.162872, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-04-03 15:30:23.184148, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-04-03 15:30:28.205766, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-04-03 15:30:33.227741, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-04-03 15:30:38.241803, end_time=None, duration=None
id=17, command=command, response=None, start_time=2023-04-03 15:30:43.273667, end_time=None, duration=None
id=18, command=command, response=None, start_time=2023-04-03 15:30:48.300389, end_time=None, duration=None
id=19, command=command, response=None, start_time=2023-04-03 15:30:53.321157, end_time=None, duration=None
id=20, command=command, response=None, start_time=2023-04-03 15:30:58.353363, end_time=None, duration=None
